weight_update,train_pairwise_ranking_loss,test_pairwise_ranking_loss,iterations_done,resumed_from,epoch_interrupt_received,received_first_batch,epochs_done,training_started,batch_interrupt_received,epoch_started
62759,1.1839712858200073,2.119150400161743,62759.0,,False,True,97.0,True,False,False
63406,1.2090951204299927,2.2601544857025146,63406.0,,False,True,98.0,True,False,False
64053,1.2076835632324219,2.4157989025115967,64053.0,,False,True,99.0,True,False,False
64700,1.1268333196640015,2.2920024394989014,64700.0,,False,True,100.0,True,False,False
65347,1.1661882400512695,2.111433506011963,65347.0,,False,True,101.0,True,False,False
65994,1.1861737966537476,2.29325008392334,65994.0,,False,True,102.0,True,False,False
66641,1.192801833152771,2.389469861984253,66641.0,,False,True,103.0,True,False,False
67288,1.1709339618682861,2.135199785232544,67288.0,,False,True,104.0,True,False,False
67935,1.1454896926879883,2.383124828338623,67935.0,,False,True,105.0,True,False,False
68582,1.144734501838684,2.3597495555877686,68582.0,,False,True,106.0,True,False,False
69229,1.1919267177581787,2.4459619522094727,69229.0,,False,True,107.0,True,False,False
69876,1.1604855060577393,2.6778316497802734,69876.0,,False,True,108.0,True,False,False
70321,,,,,True,,,,,
70523,1.1290844678878784,2.132883071899414,70523.0,,True,True,109.0,True,False,False
